temperature,humidity,mq2_smoke,mq135_gas,flame_detected,cv_flame_score,cv_smoke_score,person_detected,label
93.8,23.09,1019,900,1,0.98,0.91,0,Evacuate Immediately
48.08,10.96,730,766,1,0.82,0.77,0,Fire Detected
30.32,54.36,102,111,0,0.06,0.06,0,Safe
26.91,55.91,195,124,0,0.06,0.06,1,Safe
45.37,29.13,707,791,1,0.64,0.67,0,Fire Detected
43.5,44.66,449,665,0,0.24,0.44,0,Gas Leak
30.83,32.16,169,210,0,0.09,0.05,0,Safe
24.57,56.99,139,132,0,0.04,0.05,1,Safe
25.63,40.17,162,108,0,0.0,0.06,0,Safe
40.72,50.15,347,303,0,0.01,0.34,1,Warning
20.53,52.38,169,136,0,0.06,0.07,1,Safe
23.02,41.48,101,224,0,0.01,0.04,0,Safe
48.06,22.86,313,655,0,0.1,0.51,1,Gas Leak
43.45,42.19,337,764,0,0.34,0.37,0,Gas Leak
43.26,41.37,328,347,0,0.11,0.23,0,Warning
41.91,46.58,258,382,0,0.03,0.41,0,Warning
33.85,35.06,138,211,0,0.1,0.06,1,Safe
44.84,45.79,499,653,0,0.16,0.46,1,Gas Leak
34.54,38.52,178,211,0,0.0,0.06,1,Safe
48.6,19.09,788,646,1,0.88,0.7,1,Fire Detected
40.21,33.83,470,856,0,0.38,0.52,0,Gas Leak
35.99,58.8,215,256,0,0.19,0.45,1,Warning
33.7,44.03,119,112,0,0.06,0.02,0,Safe
37.47,50.79,264,270,0,0.08,0.47,1,Warning
64.82,21.55,864,769,1,0.67,0.63,1,Fire Detected
29.09,33.5,136,216,0,0.02,0.01,0,Safe
57.91,22.34,830,670,1,0.84,0.87,1,Fire Detected
50.08,17.79,806,795,1,0.85,0.69,0,Fire Detected
40.96,52.2,363,297,0,0.0,0.27,1,Warning
56.81,33.36,747,778,1,0.61,0.73,1,Fire Detected
39.56,50.94,244,390,0,0.15,0.4,1,Warning
30.58,52.39,143,155,0,0.03,0.01,1,Safe
23.12,40.76,130,165,0,0.1,0.09,1,Safe
